lat,lon,rank,combined_score,gravity_norm,connectivity_norm,crowding_norm,travel_time_norm,gravity_log,crowding_score,total_reduction,min_distance_to_station_km,top_relieved_stations
51.51451738801217,-0.4125113869676313,1,0.48926150829937115,1.0,0.4432672425445573,0.03140667768002019,0.0,4.6100609930339225,291099.8361710074,0.0,1.3621892750798963,Hayes & Harlington
51.42650198400256,0.0447451738648304,2,0.42845594745063953,0.618803313836269,0.6766490777290037,0.0,0.05920042859496163,2.852721019476712,0.0,1307982960.0,5.964384403887686,
51.34873110146516,-0.1454053631338708,3,0.42553395271486205,0.7443069527902206,0.5500883974609495,0.0,0.0,3.4313004499021376,0.0,0.0,4.550038938234954,
51.57340077503303,-0.1362751456604994,4,0.4201821821365397,0.4280794049737893,0.33703256237828144,0.0962231084111448,1.0,1.973472166790838,891865.4618526761,22094146800.0,0.8603708108831427,"Archway, Highgate, Upper Holloway"
51.46367872482488,-0.0255768007256339,5,0.38431846182875967,0.3926403182461193,0.5659907358223352,0.14019266527192573,0.3270573109435482,1.81009581543886,1299407.1613947365,7226052240.0,0.8259418914983911,"Lewisham, Brockley, Greenwich"
51.49986501931261,-0.0384212312803503,6,0.35934781119293396,0.3706471939980478,0.48802914604432873,0.4160627474015931,0.0,1.708706171227877,3856370.891548092,0.0,0.8292885918264824,"Canary Wharf, Canada Water, Surrey Quays"
51.45938997795552,-0.3280567401352289,7,0.35667033047156665,0.6223353620806636,0.4397697170395464,0.01859152164205308,0.02135822868706566,2.8690039773137097,172319.68816664445,471891840.0,1.874543636104708,Richmond
51.36360065856149,0.041942140944568,8,0.3559147765847503,0.3307810252592823,0.800471392480005,0.0,0.0,1.524920701783586,0.0,0.0,9.238398440675669,
51.44371287843465,0.088685464438956,9,0.3540174205793437,0.5019394558396129,0.5850290289441392,0.0,0.01886601568158314,2.3139715062308723,0.0,416828520.0,5.325271092445587,
51.44546332567648,-0.0119717409276296,10,0.3512856100255415,0.419721266305441,0.6028019534325803,0.0,0.15695053859242034,1.9349406377415168,0.0,3467688240.0,2.2498022442677343,
51.53722464685698,-0.1233336785621886,11,0.3500312990448558,0.4274626795457422,0.0,1.0,0.002795741358973862,1.9706290249515857,9268724.286497671,61769520.0,0.8332302659561613,"Kings Cross St Pancras, Euston, Camden Town"
51.48016462848501,0.0615465471532041,12,0.3494988180470388,0.4870219551495457,0.5030377001483071,0.06870028520188518,0.09593177773219104,2.245200918186037,636764.0019400297,2119530780.0,1.2038155930057124,"Woolwich, Woolwich Arsenal"
51.4349825687751,0.0738993833557136,13,0.3488099136340032,0.4578379180723785,0.5994443964001758,0.0,0.05822215592412014,2.110660727237333,0.0,1286368860.0,6.125929596311268,
51.48759984039206,0.1483084586687868,14,0.34861678354844744,0.5740436022986973,0.4691120956645691,0.023015626678725157,0.01576512472525076,2.6463760192579024,213325.4979660636,348316980.0,1.9607159508424208,Abbey Wood
51.47991071460886,0.0759370184936211,15,0.34601877064735337,0.4747013495903386,0.5035745224866383,0.07727059513965462,0.08897881677874975,2.1884021750869795,716199.8418030457,1965911040.0,1.222579478615658,"Woolwich, Woolwich Arsenal"
51.456344790594855,-0.1266528009366542,16,0.3393913120624246,0.4720442894558831,0.4107718334654155,0.22774114563586967,0.03597354390711299,2.176152965804981,2110869.8875899883,794804760.0,0.9790975852136532,"Brixton, Clapham Common, Clapham North"
51.37357376232769,-0.0150876789429803,17,0.33568249221528174,0.3032155567749434,0.7651901578135052,0.0,0.0,1.3978422107692292,0.0,0.0,5.581845781221163,
51.382069797755456,0.0140219485286846,18,0.33492248921079715,0.3137744117858345,0.7503381502858504,0.0,0.0,1.446519176386039,0.0,0.0,6.480747438142532,
51.48421109191548,-0.1831223822779931,19,0.3339620360825348,0.4550869136990494,0.3299294177022037,0.3780391259598478,0.000633105234912262,2.0979784292841828,3503940.4280303936,13987920.0,0.8926047873940821,"South Kensington, Earl's Court, Gloucester Road"
51.39105587644259,0.0144165561558971,20,0.33245195544519013,0.3235032764095728,0.7307526956727988,0.0,0.0,1.491369835694443,0.0,0.0,5.978884605262009,
